Type1,fileid
Grass,1.png
Grass,2.png
Grass,3.png
Grass,3-mega.png
Fire,4.png
Fire,5.png
Fire,6.png
Fire,6-mega-x.png
Fire,6-mega-y.png
Water,7.png
Water,8.png
Water,9.png
Water,9-mega.png
Bug,10.png
Bug,11.png
Bug,12.png
Bug,13.png
Bug,14.png
Bug,15.png
Bug,15-mega.png
Normal,16.png
Normal,17.png
Normal,18-png
Normal,18-mega.png
Normal,19.png
Normal,20.png
Normal,21.png
Normal,22.png
Poison,23.png
Poison,24.png
Electric,25.png
Electric,26.png
Ground,27.png
Ground,28.png
Poison,29.png
Poison,30.png
Poison,31.png
Poison,32.png
Poison,33.png
Poison,34.png
Fairy,35.png
Fairy,36.png
Fire,37.png
Fire,38.png
Normal,39.png
Normal,40.png
Poison,41.png
Poison,42.png
Grass,43.png
Grass,44.png
Grass,45.png
Bug,46.png
Bug,47.png
Bug,48.png
Bug,49.png
Ground,50.png
Ground,51.png
Normal,52.png
Normal,53.png
Water,54.png
Water,55.png
Fighting,56.png
Fighting,57.png
Fire,58.png
Fire,59.png
Water,60.png
Water,61.png
Water,62.png
Psychic,63.png
Psychic,64.png
Psychic,65.png
Psychic,65-mega.png
Fighting,66.png
Fighting,67.png
Fighting,68.png
Grass,69.png
Grass,70.png
Grass,71.png
Water,72.png
Water,73.png
Rock,74.png
Rock,75.png
Rock,76.png
Fire,77.png
Fire,78.png
Water,79.png
Water,80.png
Water,80-mega.png
Electric,81.png
Electric,82.png
Normal,83.png
Normal,84.png
Normal,85.png
Water,86.png
Water,87.png
Poison,88.png
Poison,89.png
Water,90.png
Water,91.png
Ghost,92.png
Ghost,93.png
Ghost,94.png
Ghost,94-mega.png
Rock,95.png
Psychic,96.png
Psychic,97.png
Water,98.png
Water,99.png
Electric,100.png
Electric,101.png
Grass,102.png
Grass,103.png
Ground,104.png
Ground,105.png
Fighting,106.png
Fighting,107.png
Normal,108.png
Poison,109.png
Poison,110.png
Ground,111.png
Ground,112.png
Normal,113.png
Grass,114.png
Normal,115.png
Normal,115-mega.png
Water,116.png
Water,117.png
Water,118.png
Water,119.png
Water,120.png
Water,121.png
Psychic,122.png
Bug,123.png
Ice,124.png
Electric,125.png
Fire,126.png
Bug,127.png
Bug,127-mega.png
Normal,128.png
Water,129.png
Water,130.png
Water,130-mega.png
Water,131.png
Normal,132.png
Normal,133.png
Water,134.png
Electric,135.png
Fire,136.png
Normal,137.png
Rock,138.png
Rock,139.png
Rock,140.png
Rock,141.png
Rock,142.png
Rock,142-mega.png
Normal,143.png
Ice,144.png
Electric,145.png
Fire,146.png
Dragon,147.png
Dragon,148.png
Dragon,149.png
Psychic,150.png
Psychic,150-mega-x.png
Psychic,150-mega-y.png
Psychic,151.png
Grass,152.png
Grass,153.png
Grass,154.png
Fire,155.png
Fire,156.png
Fire,157.png
Water,158.png
Water,159.png
Water,160.png
Normal,161.png
Normal,162.png
Normal,163.png
Normal,164.png
Bug,165.png
Bug,166.png
Bug,167.png
Bug,168.png
Poison,169.png
Water,170.png
Water,171.png
Electric,172.png
Fairy,173.png
Normal,174.png
Fairy,175.png
Fairy,176.png
Psychic,177.png
Psychic,178.png
Electric,179.png
Electric,180.png
Electric,181.png
Electric,181-mega.png
Grass,182.png
Water,183.png
Water,184.png
Rock,185.png
Water,186.png
Grass,187.png
Grass,188.png
Grass,189.png
Normal,190.png
Grass,191.png
Grass,192.png
Bug,193.png
Water,194.png
Water,195.png
Psychic,196.png
Dark,197.png
Dark,198.png
Water,199.png
Ghost,200.png
Psychic,201.png
Psychic,202.png
Normal,203.png
Bug,204.png
Bug,205.png
Normal,206.png
Ground,207.png
Steel,208.png
Steel,208-mega.png
Fairy,209.png
Fairy,210.png
Water,211.png
Bug,212.png
Bug,212-mega.png
Bug,213.png
Bug,214.png
Bug,214-mega.png
Dark,215.png
Normal,216.png
Normal,217.png
Fire,218.png
Fire,219.png
Ice,220.png
Ice,221.png
Water,222.png
Water,223.png
Water,224.png
Ice,225.png
Water,226.png
Steel,227.png
Dark,228.png
Dark,229.png
Dark,229-mega.png
Water,230.png
Ground,231.png
Ground,232.png
Normal,233.png
Normal,234.png
Normal,235.png
Fighting,236.png
Fighting,237.png
Ice,238.png
Electric,239.png
Fire,240.png
Normal,241.png
Normal,242.png
Electric,243.png
Fire,244.png
Water,245.png
Rock,246.png
Rock,247.png
Rock,248.png
Rock,248-mega.png
Psychic,249.png
Fire,250.png
Psychic,251.png
Grass,252.png
Grass,253.png
Grass,254.png
Grass,254-mega.png
Fire,255.png
Fire,256.png
Fire,257.png
Fire,257-mega.png
Water,258.png
Water,259.png
Water,260.png
Water,260-mega.png
Dark,261.png
Dark,262.png
Normal,263.png
Normal,264.png
Bug,265.png
Bug,266.png
Bug,267.png
Bug,268.png
Bug,269.png
Water,270.png
Water,271.png
Water,272.png
Grass,273.png
Grass,274.png
Grass,275.png
Normal,276.png
Normal,277.png
Water,278.png
Water,279.png
Psychic,280.png
Psychic,281.png
Psychic,282.png
Psychic,282-mega.png
Bug,283.png
Bug,284.png
Grass,285.png
Grass,286.png
Normal,287.png
Normal,288.png
Normal,289.png
Bug,290.png
Bug,291.png
Bug,292.png
Normal,293.png
Normal,294.png
Normal,295.png
Fighting,296.png
Fighting,297.png
Normal,298.png
Rock,299.png
Normal,300.png
Normal,301.png
Dark,302.png
Dark,302-mega.png
Steel,303.png
Steel,303-mega.png
Steel,304.png
Steel,305.png
Steel,306.png
Steel,306-mega.png
Fighting,307.png
Fighting,308.png
Fighting,308-mega.png
Electric,309.png
Electric,310.png
Electric,310-mega.png
Electric,311.png
Electric,312.png
Bug,313.png
Bug,314.png
Grass,315.png
Poison,316.png
Poison,317.png
Water,318.png
Water,319.png
Water,319-mega.png
Water,320.png
Water,321.png
Fire,322.png
Fire,323.png
Fire,323-mega.png
Fire,324.png
Psychic,325.png
Psychic,326.png
Normal,327.png
Ground,328.png
Ground,329.png
Ground,330.png
Grass,331.png
Grass,332.png
Normal,333.png
Dragon,334.png
Dragon,334-mega.png
Normal,335.png
Poison,336.png
Rock,337.png
Rock,338.png
Water,339.png
Water,340.png
Water,341.png
Water,342.png
Ground,343.png
Ground,344.png
Rock,345.png
Rock,346.png
Rock,347.png
Rock,348.png
Water,349.png
Water,350.png
Normal,351.png
Normal,352.png
Ghost,353.png
Ghost,354.png
Ghost,354-mega.png
Ghost,355.png
Ghost,356.png
Grass,357.png
Psychic,358.png
Dark,359.png
Dark,359-mega.png
Psychic,360.png
Ice,361.png
Ice,362.png
Ice,362-mega.png
Ice,363.png
Ice,364.png
Ice,365.png
Water,366.png
Water,367.png
Water,368.png
Water,369.png
Water,370.png
Dragon,371.png
Dragon,372.png
Dragon,373.png
Dragon,373-mega.png
Steel,374.png
Steel,375.png
Steel,376.png
Steel,376-mega.png
Rock,377.png
Ice,378.png
Steel,379.png
Dragon,380.png
Dragon,380-mega.png
Dragon,381.png
Dragon,381-mega.png
Water,382.png
Water,382-primal.png
Ground,383.png
Ground,383-primal.png
Dragon,384.png
Dragon,384-mega.png
Steel,385.png
Psychic,386-normal.png
Psychic,386-attack.png
Psychic,386-defense.png
Psychic,386-speed.png
Grass,387.png
Grass,388.png
Grass,389.png
Fire,390.png
Fire,391.png
Fire,392.png
Water,393.png
Water,394.png
Water,395.png
Normal,396.png
Normal,397.png
Normal,398.png
Normal,399.png
Normal,400.png
Bug,401.png
Bug,402.png
Electric,403.png
Electric,404.png
Electric,405.png
Grass,406.png
Grass,407.png
Rock,408.png
Rock,409.png
Rock,410.png
Rock,411.png
Bug,412-plant.png
Bug,413-plant.png
Bug,413-sandy.png
Bug,413-trash.png
Bug,414.png
Bug,415.png
Bug,416.png
Electric,417.png
Water,418.png
Water,419.png
